HR,SDNN,Pnn50,RMSSD,label
76.5811609,0.169376428,32.60869565,0.292700575,1
48.51580853,0.102410394,20,0.163183374,1
55.4482018,0.147067867,23.52941176,0.250509928,1
72.14274072,0.18968746,16.86746988,0.149682591,1
56.43324746,0.211408309,31.34328358,0.300328103,1
37.31131717,0.161579515,56.52173913,0.263649599,1
55.36472359,0.038282822,36.23188406,0.045745459,1
50.68022007,0.088809399,37.5,0.084336815,1
38.83076167,0.069740794,14.73684211,0.105159453,1
47.74143569,0.181349807,13.79310345,0.089128332,1
109.0759302,0.128734794,62.13592233,0.329830792,1
60.69512224,0.065565408,11.84210526,0.109093232,1
70.49435678,0.136764415,80.45977011,0.187486434,1
42.93738406,0.225034185,28.84615385,0.39562559,1
83.18536596,0.085109354,50,0.124135848,1
62.58328325,0.116467805,49.35064935,0.187945961,1
71.720856,0.116900812,46.06741573,0.166726504,1
52.29541843,0.069744419,44.61538462,0.115359492,1
58.95789793,0.26297728,11.29032258,0.17644021,1
75.0977945,0.117330394,59.57446809,0.199830573,1
59.94133288,0.148088084,36.98630137,0.252361073,1
89.23702377,0.116428249,63.63636364,0.168005024,1
76.61214964,0.095183392,10.52631579,0.180147694,1
73.10049018,0.138244237,31.11111111,0.212431086,1
110.1303543,0.082609897,36.2962963,0.1380812,1
69.13076642,0.166883084,66.26506024,0.28847581,1
91.36702437,0.1637501,56.19047619,0.191455302,1
67.33587209,0.20709325,59.49367089,0.274207483,1
91.67429697,0.103043056,71.68141593,0.154078482,1
57.33144249,0.22434792,72.46376812,0.34020971,1
60.1419322,0.129272279,55.40540541,0.226234816,1
51.02501102,0.092886518,18.75,0.153219419,1
56.63774754,0.184905955,59.42028986,0.33106557,1
57.11792712,0.330675666,66.66666667,0.56972598,1
62.80370563,0.280100912,87.67123288,0.547328106,1
71.03421656,0.336034492,94.93670886,0.519643616,1
49.14738169,0.12688101,13.1147541,0.206708329,1
67.66127467,0.155681232,82.8125,0.233258523,1
92.98593766,0.317807124,76.82926829,0.369375516,1
49.32401155,0.260868165,60.34482759,0.366091255,1
58.21873685,0.120124568,16.43835616,0.208133237,1
74.77074723,0.127383653,54.34782609,0.18111377,1
77.76918792,0.212069406,90.10989011,0.383835902,1
73.65493466,0.221548675,82.75862069,0.351637366,1
62.19900322,0.163321306,40,0.197241106,1
61.17510882,0.110178887,23.68421053,0.184061584,1
58.44850182,0.008895341,0,0.011993149,0
52.86331752,0.052981146,12.12121212,0.039691115,0
45.97043583,0.014409709,0,0.019421457,0
53.66041201,0.024308339,0,0.010438162,0
55.07412635,0.079936175,5.797101449,0.115758369,0
57.63744516,0.019884259,9.589041096,0.025927249,0
74.51617594,0.023128208,1.063829787,0.015623253,0
49.05848837,0.146814605,8.196721311,0.21220666,0
73.65989299,0.062806009,4.301075269,0.022116293,0
74.67333888,0.022803955,0,0.016329932,0
75.62642239,0.019545342,0,0.01066228,0
58.75927135,0.071842596,29.72972973,0.038994204,0
64.40814844,0.043356365,0,0.018165902,0
22.85424194,0.052591029,10.71428571,0.078462498,0
54.04134706,0.044409817,11.76470588,0.031528239,0
60.81802668,0.037019594,5.194805195,0.032015621,0
66.75365642,0.116844014,36.70886076,0.122175788,0
55.36472359,0.038282822,36.23188406,0.045745459,0
54.84928393,0.059590425,20.28985507,0.037357573,0
65.36914406,0.050081581,7.317073171,0.030832082,0
70.14517076,0.060703414,6.818181818,0.027709495,0
77.1744712,0.008458931,0,0.009470519,0
48.46050303,0.039166264,6.557377049,0.028982753,0
111.0322443,0.301380425,12.76595745,0.334260538,0
59.57756111,0.108794089,15.78947368,0.122464924,0
86.15611314,0.033271697,0,0.015081105,0
53.69531393,0.016474206,0,0.015943164,0
64.68977936,0.071099685,25.3968254,0.05061352,0
58.37139244,0.073313267,17.54385965,0.04408648,0
85.24275369,0.043029222,4.761904762,0.025100201,0
93.86764515,0.030190292,1.075268817,0.019722818,0
60.82476147,0.026898547,0,0.00871685,0
79.02101639,0.044562027,0,0.02065399,0
69.10039205,0.019580378,0,0.013988037,0
78.85288892,0.028972959,5.128205128,0.026071321,0
72.6643195,0.024836452,1.388888889,0.018413893,0
75.79349062,0.021232049,1.351351351,0.022979855,0
54.67061186,0.012867899,0,0.018492732,0
